"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\app\AppProviders.tsx", "TypeScript JSX", 0, 0, 19, 0, 5, 24
"c:\Users\david\Downloads\marosProject\maros-next\src\app\company\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 2, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\app\contacts\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 2, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\app\customers\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 2, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\app\layout.tsx", "TypeScript JSX", 0, 0, 42, 2, 6, 50
"c:\Users\david\Downloads\marosProject\maros-next\src\app\leads\construction\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 3, 9
"c:\Users\david\Downloads\marosProject\maros-next\src\app\leads\plumbing\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 3, 9
"c:\Users\david\Downloads\marosProject\maros-next\src\app\leads\roofing\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 3, 9
"c:\Users\david\Downloads\marosProject\maros-next\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 27, 0, 6, 33
"c:\Users\david\Downloads\marosProject\maros-next\src\app\page.tsx", "TypeScript JSX", 0, 0, 25, 0, 3, 28
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\MobileMenuButton.tsx", "TypeScript JSX", 0, 0, 16, 0, 4, 20
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\Sidebar.tsx", "TypeScript JSX", 0, 0, 92, 0, 12, 104
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\SidebarContext.tsx", "TypeScript JSX", 0, 0, 29, 0, 9, 38
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\SidebarDropdown.tsx", "TypeScript JSX", 0, 0, 49, 2, 9, 60
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\SidebarItem.tsx", "TypeScript JSX", 0, 0, 36, 0, 8, 44
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\index.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\components\sidebar\sidebarConfig.ts", "TypeScript", 70, 0, 0, 10, 7, 87
"c:\Users\david\Downloads\marosProject\maros-next\src\di\DiProvider.tsx", "TypeScript JSX", 0, 0, 60, 8, 11, 79
"c:\Users\david\Downloads\marosProject\maros-next\src\di\factories\companyFactory.ts", "TypeScript", 10, 0, 0, 4, 2, 16
"c:\Users\david\Downloads\marosProject\maros-next\src\di\factories\contactsFactory.ts", "TypeScript", 10, 0, 0, 4, 3, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\di\factories\index.ts", "TypeScript", 4, 0, 0, 10, 2, 16
"c:\Users\david\Downloads\marosProject\maros-next\src\di\factories\leadsFactory.ts", "TypeScript", 18, 0, 0, 4, 2, 24
"c:\Users\david\Downloads\marosProject\maros-next\src\di\factories\projectTypesFactory.ts", "TypeScript", 9, 0, 0, 4, 2, 15
"c:\Users\david\Downloads\marosProject\maros-next\src\di\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\context.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\index.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\keys\companyKeys.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\keys\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\ports\CompanyRepositoryPort.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\ports\index.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\commands\createCompany.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\commands\deleteCompany.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\commands\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\commands\patchCompany.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\application\usecases\commands\updateCompanyWithContacts.ts", "TypeScript", 28, 0, 0, 12, 7, 47
